sep=,
Make,Model,Modulation,Weight (g),L (mm),C (mm),A (mm),TensãoTorque1,Torque1 (kgf.cm),TensãoTorque2,Torque2 (kgf.cm),TensãoTorque3,Torque3 (kgf.cm),TensãoTorque4,Torque4 (kgf.cm),TensãoTorque5,Torque5 (kgf.cm),TensãoSpeed1,Speed1 (°/s),TensãoSpeed2,Speed2 (°/s),TensãoSpeed3,Speed3 (°/s),TensãoSpeed4,Speed4 (°/s),TensãoSpeed5,Speed5 (°/s),Motor Type,Rotation,Gear Material,Typical Price
Outrage,BL 9080*,Digital,60.95,39.88,20.07,38.61,6.0,6.36,7.4,8.09,8.4,9.57,,,,,6.0,857.14,7.4,1000.00,8.4,1200.00,,,,,Brushless,Dual Bearings,Titanium,$139.95
Outrage,BL 9088*,Digital,60.95,39.88,20.07,38.61,6.0,4.57,7.4,5.65,8.4,6.60,,,,,6.0,1200.00,7.4,1500.00,8.4,2000.00,,,,,Brushless,Dual Bearings,Titanium,$144.95
Outrage,BL 9180*,Digital,71.16,39.88,20.07,38.61,6.0,13.19,7.4,16.30,8.4,17.69,,,,,6.0,461.54,7.4,545.45,8.4,600.00,,,,,Brushless,Triple Bearings,Titanium,$139.95
Outrage,BL 9188*,Digital,71.16,39.88,20.07,38.61,6.0,4.45,7.4,5.49,8.4,6.00,,,,,6.0,1200.00,7.4,1500.00,8.4,2000.00,,,,,Brushless,Dual Bearings,Titanium,$144.95
Outrage,OS7654T*,Digital,27.50,35.81,15.24,28.96,4.8,2.01,,,,,,,,,4.8,1200.00,,,,,,,,,Coreless,Dual Bearings,Metal,$49.95
Parallax,900-00005,Digital,43.94,55.88,20.32,40.64,6.0,3.10,,,,,,,,,,,,,,,,,,,-,-,Plastic,$17.95
Parallax,900-00008,-,42.52,55.88,20.32,40.64,4.8,2.40,6.0,3.00,,,,,,,4.8,214.29,6.0,272.73,,,,,,,-,-,-,$19.95
Parallax,900-00040,Digital,,55.88,19.05,40.64,6.0,38.01,,,,,,,,,6.0,300.00,,,,,,,,,-,-,Nylon,$19.95
Parallax,900-00360,Digital,39.97,50.29,37.08,20.07,6.0,2.20,,,,,,,,,6.0,857.14,,,,,,,,,-,-,Plastic,$27.99
PingZheng,PZ-15090*,Analog,32.03,65.79,35.05,25.40,4.8,2.50,,,,,,,,,4.8,33.33,,,,,,,,,Coreless,-,-,-
PingZheng,PZ-15128*,Analog,24.95,35.81,14.99,28.70,4.8,2.50,6.0,3.00,,,,,,,4.8,352.94,6.0,428.57,,,,,,,-,Bushing,Plastic,$10.00
PingZheng,PZ-15128A*,Digital,24.95,35.81,14.99,28.70,4.8,2.50,6.0,3.00,,,,,,,4.8,400.00,6.0,461.54,,,,,,,Coreless,Dual Bearings,Plastic,$29.99
PingZheng,PZ-15138*,Analog,37.99,40.13,20.07,36.07,4.8,3.80,6.0,4.30,,,,,,,4.8,285.71,6.0,352.94,,,,,,,-,-,Plastic,$9.00
PingZheng,PZ-15148*,Analog,17.01,27.94,13.21,29.72,4.8,2.30,6.0,2.50,,,,,,,4.8,352.94,6.0,428.57,,,,,,,-,Bushing,Plastic,$9.00
PingZheng,PZ-15148B*,Digital,18.99,27.94,13.21,29.72,4.8,2.30,6.0,2.50,,,,,,,4.8,352.94,6.0,428.57,,,,,,,-,Bushing,Metal,$16.00
PingZheng,PZ-15158*,Digital,24.95,35.81,14.99,28.70,4.8,2.30,6.0,2.80,,,,,,,4.8,750.00,6.0,857.14,,,,,,,-,Dual Bearings,Plastic,$29.99
PingZheng,PZ-15158A*,Digital,24.95,35.81,14.99,28.70,4.8,2.30,6.0,2.80,,,,,,,4.8,750.00,6.0,857.14,,,,,,,-,Dual Bearings,Plastic,$29.99
PingZheng,PZ-15168*,Analog,7.94,20.83,11.43,24.13,4.8,0.99,6.0,1.20,,,,,,,4.8,428.57,6.0,500.00,,,,,,,-,-,Plastic,$7.50
PingZheng,PZ-15178*,Analog,9.07,22.86,11.94,27.43,4.8,1.20,6.0,1.40,,,,,,,4.8,666.67,6.0,857.14,,,,,,,-,Bushing,Plastic,$8.00
PingZheng,PZ-15178A*,Digital,9.07,22.86,11.94,27.43,4.8,1.20,6.0,1.40,,,,,,,4.8,666.67,6.0,857.14,,,,,,,-,Bushing,Plastic,$12.80
PingZheng,PZ-15178B*,Digital,13.61,22.86,11.94,27.43,4.8,1.80,6.0,2.00,,,,,,,4.8,666.67,6.0,857.14,,,,,,,-,Bushing,Metal,$15.60
PingZheng,PZ-15188*,Analog,3.69,20.32,8.64,20.32,4.8,0.50,6.0,0.60,,,,,,,4.8,666.67,6.0,750.00,,,,,,,-,-,Plastic,$7.50
PingZheng,PZ-15189*,Analog,4.25,20.32,8.64,22.10,4.8,0.60,6.0,0.70,,,,,,,4.8,666.67,6.0,750.00,,,,,,,-,Bushing,Plastic,$7.50
PingZheng,PZ-15218*,Analog,14.46,22.61,12.45,25.91,4.8,1.30,6.0,1.60,,,,,,,4.8,333.33,6.0,375.00,,,,,,,Coreless,Single Bearing,Plastic,$10.50
PingZheng,PZ-15218B*,Digital,11.91,22.61,12.45,25.91,4.8,1.30,6.0,1.60,,,,,,,4.8,333.33,6.0,375.00,,,,,,,-,Single Bearing,Metal,$17.00
PingZheng,PZ-15228*,Digital,16.44,22.61,12.45,29.21,4.8,2.00,6.0,2.50,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,Single Bearing,Metal,$18.00
